date,product_id,product_name,supplier,category,lead_time_days,opening_stock,units_sold,units_received,wastage,closing_stock,unit_price,revenue
2024-01-01,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,210,11,0,0,199,45,495
2024-01-01,P002,Oil Filter,Doyle Ltd,fast,4,210,9,0,0,201,12.5,112.5
2024-01-01,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,210,15,56,0,251,18,270
2024-01-01,P004,Spark Plug Set,Davis and Sons,fast,5,210,12,0,1,197,22,264
2024-01-01,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,210,14,0,1,195,15,210
2024-01-01,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,70,10,0,0,60,20,200
2024-01-01,P007,Fuel Filter,Blake and Sons,medium,5,70,6,0,0,64,14,84
2024-01-01,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,70,4,0,0,66,85,340
2024-01-01,P009,Alternator Belt,Garcia-James,medium,6,70,8,0,0,62,18,144
2024-01-01,P010,Headlight Bulb,Abbott-Munoz,medium,5,105,10,0,0,95,12,120
2024-01-01,P011,Radiator Cap,Blair PLC,slow,7,37,3,0,0,34,8,24
2024-01-01,P012,Thermostat,Dudley Group,slow,6,37,2,0,0,35,22,44
2024-01-01,P013,PCV Valve,Arnold Ltd,slow,7,25,4,0,0,21,9,36
2024-01-01,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,25,2,0,0,23,65,130
2024-01-01,P015,EGR Valve,Williams and Sons,slow,8,25,2,0,0,23,95,190
2024-01-02,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,199,8,0,0,191,45,360
2024-01-02,P002,Oil Filter,Doyle Ltd,fast,4,201,15,0,1,185,12.5,187.5
2024-01-02,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,251,14,56,0,293,18,252
2024-01-02,P004,Spark Plug Set,Davis and Sons,fast,5,197,9,70,0,258,22,198
